name,href
Jude Bellingham,https://www.futwiz.com/en/fifa23/player/jude-bellingham/22723
Moussa Diaby,https://www.futwiz.com/en/fifa23/player/moussa-diaby/22729
Rafael Leao,https://www.futwiz.com/en/fifa23/player/rafael-leao/22714
Erling Haaland,https://www.futwiz.com/en/fifa23/player/erling-haaland/22708
Declan Rice,https://www.futwiz.com/en/fifa23/player/declan-rice/22718
Christopher Nkunku,https://www.futwiz.com/en/fifa23/player/christopher-nkunku/22731
Kylian Mbappe,https://www.futwiz.com/en/fifa23/player/kylian-mbappe/22648
Gianluigi Donnarumma,https://www.futwiz.com/en/fifa23/player/gianluigi-donnarumma/22696
Harry Kane,https://www.futwiz.com/en/fifa23/player/harry-kane/22732
Kevin De Bruyne,https://www.futwiz.com/en/fifa23/player/kevin-de-bruyne/22521 Lothar Matthaus,https://www.futwiz.com/en/fifa23/player/lothar-matthaus/22712
Neymar Jr,https://www.futwiz.com/en/fifa23/player/neymar-jr/22627
Pele,https://www.futwiz.com/en/fifa23/player/pele/22431
Robert Lewandowski,https://www.futwiz.com/en/fifa23/player/robert-lewandowski/22710
Karim Benzema,https://www.futwiz.com/en/fifa23/player/karim-benzema/22672
Lionel Messi,https://www.futwiz.com/en/fifa23/player/lionel-messi/22606
Cristiano Ronaldo,https://www.futwiz.com/en/fifa23/player/cristiano-ronaldo/22592
Thierry Henry,https://www.futwiz.com/en/fifa23/player/thierry-henry/22722
Zinedine Zidane,https://www.futwiz.com/en/fifa23/player/zinedine-zidane/22688
Lucio,https://www.futwiz.com/en/fifa23/player/lucio/22649
Garrincha,https://www.futwiz.com/en/fifa23/player/garrincha/22465
Sandro Tonali,https://www.futwiz.com/en/fifa23/player/sandro-tonali/22736
Eldor Shomurodov,https://www.futwiz.com/en/fifa23/player/eldor-shomurodov/22743
Vinicius Junior,https://www.futwiz.com/en/fifa23/player/vinicius-junior/22588
Kim Min Jae,https://www.futwiz.com/en/fifa23/player/kim-min-jae/22724
Marcus Rashford,https://www.futwiz.com/en/fifa23/player/marcus-rashford/22674
Marcus Thuram,https://www.futwiz.com/en/fifa23/player/marcus-thuram/22735
Martin Odegaard,https://www.futwiz.com/en/fifa23/player/martin-odegaard/22713
Alisson,https://www.futwiz.com/en/fifa23/player/alisson/22673
Paulo Dybala,https://www.futwiz.com/en/fifa23/player/paulo-dybala/22697
Leon Goretzka,https://www.futwiz.com/en/fifa23/player/leon-goretzka/22554
Virgil van Dijk,https://www.futwiz.com/en/fifa23/player/virgil-van-dijk/22432
Kevin De Bruyne,https://www.futwiz.com/en/fifa23/player/kevin-de-bruyne/22546
Pele,https://www.futwiz.com/en/fifa23/player/pele/1354
Jordi Alba,https://www.futwiz.com/en/fifa23/player/jordi-alba/22725
Claudio Marchisio,https://www.futwiz.com/en/fifa23/player/claudio-marchisio/22699
Abedi Pele,https://www.futwiz.com/en/fifa23/player/abedi-pele/22698
Lionel Messi,https://www.futwiz.com/en/fifa23/player/lionel-messi/22296
